player_id,first_name,last_name,address_line1,city,state,zip_code,cmp_card_tier,q2_adt_amount,q2_total_trips,q2_total_coin_in
CMP-100028,Barry,Mclean,623 Johnson Mountain Suite 808,Fort Lauderdale,FL,33794,Gold,243.08,6,11335.69
CMP-100029,David,Miller,24287 Justin Union Apt. 967,Pembroke Pines,FL,32935,Classic,69.92,7,2757.12
CMP-100030,Terri,Walsh,7930 Stevens Roads,Hollywood,FL,32050,Platinum,785.32,1,6042.52
CMP-100031,Meghan,House,781 Paul Freeway Suite 029,Fort Lauderdale,FL,34450,Classic,60.99,5,1870.64
CMP-100032,Amy,Walker,16949 Aaron Island,West Palm Beach,FL,32777,Classic,20.51,5,728.02
CMP-100033,Jessica,Powell,10937 Heather Circles Apt. 829,Miami,FL,34469,Gold,291.09,1,2180.97
CMP-100034,Rebecca,Anderson,35902 Stephen Mall Apt. 739,West Palm Beach,FL,34552,Platinum,627.54,7,30857.32
CMP-100035,Matthew,Sharp,74617 Horton Haven Suite 953,Hollywood,FL,32335,Gold,299.59,2,4583.59
CMP-100036,Joseph,Evans,36583 Jeffrey Pines Suite 481,West Palm Beach,FL,32784,Gold,219.8,5,8272.5
CMP-100037,Timothy,Ramos,1037 Buck Inlet,Hollywood,FL,34812,Classic,82.91,6,3637.28
CMP-100038,Bradley,Johnson,414 Smith Knoll,Hollywood,FL,32683,Gold,144.59,2,2299.22
CMP-100039,Tina,Jacobson,61537 Vazquez Extensions Apt. 382,Fort Lauderdale,FL,34829,Classic,49.34,2,742.46
CMP-100040,Matthew,Chang,4825 John Ways Apt. 651,West Palm Beach,FL,34089,Multi-Platinum,1704.96,4,38147.7
CMP-100041,Lisa,Brown,480 Martinez Trafficway,Fort Lauderdale,FL,34042,Classic,61.76,3,1159.84
CMP-100042,Chloe,Goodwin,3215 Megan Walks,Hollywood,FL,32219,Gold,134.39,5,5124.11
CMP-100043,Lisa,Ray,0526 Peterson Lodge Suite 437,Miami,FL,33071,Gold,189.0,5,5968.65
CMP-100044,Fernando,Garcia,01968 Carlson Dale Apt. 116,West Palm Beach,FL,34433,Gold,134.23,7,7200.97
CMP-100045,Mitchell,Leonard,075 Williams Lodge,Hollywood,FL,33255,Classic,21.48,4,682.1
CMP-100046,Alison,George,30257 William Viaduct Suite 180,Hollywood,FL,34529,Gold,282.86,3,4999.19
CMP-100047,Brittany,Richards,5994 Ryan Avenue,Hollywood,FL,32076,Classic,12.72,3,274.56
CMP-100048,Daniel,Walton,26598 Burton Mount,Hollywood,FL,32047,Multi-Platinum,1402.05,3,30089.44
CMP-100049,Sandra,Meyer,9189 Jeremiah Bridge,Fort Lauderdale,FL,32444,Gold,299.14,3,7051.01
CMP-100050,Rebecca,Patterson,88401 Baker Landing Apt. 393,Miami,FL,34510,Platinum,421.96,1,2849.51
CMP-100051,Derrick,Garza,21450 Michael Turnpike Suite 089,West Palm Beach,FL,33905,Platinum,674.78,6,23480.55
CMP-100052,Brett,Taylor,10657 Sara Locks Apt. 763,Boca Raton,FL,32616,Classic,27.88,3,682.5
CMP-100053,Morgan,Reynolds,558 anderson knoll apt. 166,Miami,FL,34746,Classic,74.84,4,2037.47
CMP-100054,Brittany,Barber,454 Bell Highway Suite 116,Hollywood,FL,34557,Platinum,542.93,5,16648.04
CMP-100055,Kayla,Bell,4734 White Extensions Apt. 544,Hollywood,FL,32370,Gold,155.49,3,3167.76
CMP-100056,Ashley,Allen,211 Nicholas Island,Fort Lauderdale,FL,32886,Multi-Platinum,2274.37,5,69240.19
CMP-100057,Jared,Mcdonald,299 Barnes Station Apt. 295,Miami,FL,32952,Classic,10.39,1,61.1
CMP-100058,Kenneth,Shepard,1743 Burgess Roads,Pembroke Pines,FL,33536,Gold,115.75,1,901.67
CMP-100059,Michael,Coffey,4669 James Hollow,Hollywood,FL,34936,Multi-Platinum,1420.25,3,32009.7
CMP-100060,Rebecca,James,709 Jones Hollow Apt. 430,West Palm Beach,FL,33632,Classic,18.22,4,567.5
CMP-100061,Jeffrey,Mccullough,3142 Bennett Prairie,Miami,FL,32571,Classic,87.12,6,2980.7
CMP-100062,Shawna,Weber,96565 Brenda Ranch,Boca Raton,FL,32984,Gold,172.8,4,4791.39
CMP-100063,Matthew,Walker,305 Johnson Rest Suite 485,Hollywood,FL,34238,Gold,203.66,6,7382.38
CMP-100064,Matthew,Morales,408 Evelyn Port Suite 768,Miami,FL,34080,Classic,22.16,5,732.0
CMP-100065,Keith,Herrera,46052 Elizabeth Club,West Palm Beach,FL,33075,Classic,29.28,10,1643.87
CMP-100066,Alicia,Henry,2262 scott rue apt. 727,Fort Lauderdale,FL,00000,Platinum,445.53,5,13010.65
CMP-100067,Meghan,Walker,759 Little Hills Apt. 264,Miami,FL,34358,Classic,92.74,4,2272.1
CMP-100068,Stephen,Fry,030 Stacy Summit Suite 798,Hollywood,FL,33506,Classic,76.05,2,1200.18
CMP-100069,Emma,Smith,9934 Morgan Isle Suite 049,Miami,FL,32425,Classic,12.58,4,354.76
CMP-100070,Tammie,Rush,148 Kelly Crescent Suite 650,West Palm Beach,FL,32503,Classic,89.95,5,3155.37
CMP-100071,Frederick,Brown,665 Hines Point Apt. 906,Miami,FL,33840,Classic,18.98,6,686.58
CMP-100072,Tyler,Horn,9559 Brett Pine Apt. 991,Hollywood,FL,32313,Classic,92.46,4,2452.78
CMP-100073,Charles,Bean,057 Jason Points Suite 476,West Palm Beach,FL,33908,Classic,64.19,4,1672.54
CMP-100074,Timothy,Howell,633 Torres Estates Suite 827,Miami,FL,34661,Gold,206.2,2,2965.5
CMP-100075,Joshua,Sanchez,7698 Snyder Inlet Apt. 758,Hollywood,FL,34315,Classic,89.83,4,2581.13
CMP-100076,Wendy,Jenkins,079 Deanna Throughway,Boca Raton,FL,34896,Classic,66.78,4,1690.14
CMP-100077,Kristen,Flores,363 Rebecca Street Apt. 174,Fort Lauderdale,FL,33243,Multi-Platinum,1950.93,8,124263.15
CMP-100078,Jason,Sparks,8162 Bryan Rest Apt. 624,Fort Lauderdale,FL,33552,Platinum,411.73,3,7798.52
CMP-100079,Christian,Lutz,98830 Joseph Curve,Fort Lauderdale,FL,34059,Classic,67.33,4,1756.15
CMP-100080,Robert,Hughes,04459 Jacob Inlet,Miami,FL,34034,Gold,167.71,6,6918.28
CMP-100081,Kristen,Ramos,2012 Fleming Terrace Apt. 851,Hollywood,FL,32210,Multi-Platinum,847.52,4,24723.71
CMP-100082,Eric,Munoz,683 Bolton Vista,Fort Lauderdale,FL,34216,Platinum,786.52,5,27260.19
CMP-100083,Jennifer,Baker,8201 Edwards Center,Fort Lauderdale,FL,34699,Classic,99.03,4,2811.72
CMP-100084,Shawn,Robinson,02769 Travis Underpass Apt. 204,Hollywood,FL,33873,Classic,34.14,5,1344.88
CMP-100085,Todd,Rasmussen,82202 Lewis Ramp,Miami,FL,32274,Classic,81.15,4,2075.78
CMP-100086,Alexandra,Edwards,86961 Barnett Junctions Apt. 847,Fort Lauderdale,FL,32199,Classic,12.29,4,394.59
CMP-100087,Jeremy,Walker,545 Erin Point,Hollywood,FL,34634,Gold,132.72,4,3192.48
CMP-100088,Brian,Murphy,97845 Johnson Spurs,Hollywood,FL,32939,Multi-Platinum,1585.38,6,63589.38
CMP-100089,Steven,Kidd,5095 Carter Ridges Apt. 097,Fort Lauderdale,FL,33321,Gold,149.91,0,0.0
CMP-100090,Corey,Smith,8578 Misty Mall,Hollywood,FL,33488,Classic,21.5,6,916.96
CMP-100091,James,Tucker,15055 Glenda Stream,Fort Lauderdale,FL,34253,Gold,163.6,4,5139.7
CMP-100092,Yolanda,Mendez,724 Fields Points Suite 485,Hollywood,FL,34204,Gold,265.64,2,3525.22
CMP-100093,Joshua,Steele,8815 Roberts Lakes Suite 388,West Palm Beach,FL,34561,Classic,96.28,7,5042.22
CMP-100094,Melissa,Rogers,998 hurley bridge,Fort Lauderdale,FL,00000,Classic,67.43,8,3871.32
CMP-100095,Eugene,Anderson,913 carrie walks,Hollywood,FL,32150,Gold,290.92,2,4524.05
CMP-100096,Karen,Bishop,5590 Ochoa Point Apt. 155,Fort Lauderdale,FL,33974,Classic,57.95,3,1279.35
CMP-100097,Mary,Perez,5174 Stephens Road,Hollywood,FL,32227,Classic,69.52,9,4182.78
CMP-100098,Christopher,Stone,091 Patrick Springs Suite 389,Hollywood,FL,33589,Platinum,457.17,4,10506.77
CMP-100099,Andrew,Hart,0683 munoz common,Boca Raton,FL,34872,Classic,74.09,7,3616.98
CMP-100100,Jacob,Lopez,5909 Williams Creek Suite 186,Miami,FL,32481,Classic,56.21,4,1423.97
CMP-100101,Anthony,Garner,752 Patel Underpass Suite 570,Pembroke Pines,FL,33687,Classic,80.19,5,3166.54
CMP-100102,Robert,Murray,39282 Rodriguez Ramp Apt. 166,Pembroke Pines,FL,33452,Gold,143.94,7,7540.26
CMP-100103,Brian,Lopez,43857 Martin Brooks Suite 760,Hollywood,FL,34389,Classic,13.42,4,358.12
CMP-100104,Courtney,Rangel,278 Mitchell Roads Apt. 162,West Palm Beach,FL,33146,Gold,230.2,0,0.0
CMP-100105,Dustin,Weaver,3525 White Walk Suite 606,Miami,FL,32012,Classic,81.69,1,580.45
CMP-100106,Adam,Rosales,915 Jason Extension Apt. 458,Hollywood,FL,34784,Gold,142.76,3,2903.84
CMP-100107,Renee,Garcia,21257 Brittany Wells,Fort Lauderdale,FL,33570,Classic,52.17,4,1599.18
CMP-100108,Scott,Padilla,9494 Little Centers Apt. 716,Fort Lauderdale,FL,33979,Classic,73.8,2,1041.46
CMP-100109,Dana,Murphy,284 Danielle Glens,Fort Lauderdale,FL,33150,Gold,145.14,5,5179.85
CMP-100110,Jennifer,Perry,793 Taylor Stream Apt. 295,Miami,FL,32058,Gold,236.02,0,0.0
CMP-100111,Jacqueline,Olson,96524 Haley Grove,Pembroke Pines,FL,33884,Platinum,469.1,4,14289.41
CMP-100112,Christine,Johnson,1539 Randolph Courts,Boca Raton,FL,32464,Gold,279.57,7,11121.28
CMP-100113,Carrie,Shelton,836 Perkins Loop Suite 959,Hollywood,FL,34948,Classic,83.98,3,1561.92
CMP-100114,Katherine,Leon,91002 Young Crossing,Miami,FL,32988,Classic,86.32,4,2682.59
CMP-100115,Patrick,Stanton,120 Scott Heights Suite 344,Hollywood,FL,34359,Classic,91.25,4,2035.3
CMP-100116,Steven,Mathis,817 Long Street,Hollywood,FL,32378,Gold,255.65,6,12427.51
CMP-100117,Ashley,Riggs,988 Brennan Mission,Hollywood,FL,34428,Classic,89.37,4,2105.0
CMP-100118,Catherine,Diaz,5812 ramirez curve,Fort Lauderdale,FL,00000,Classic,46.16,2,755.7
CMP-100119,Alicia,Palmer,8294 Amanda Centers Apt. 779,Fort Lauderdale,FL,32521,Gold,163.49,2,2205.99
CMP-100120,Patrick,Medina,974 Veronica Road Suite 479,Miami,FL,33197,Gold,280.2,5,9284.84
CMP-100121,Jessica,Williams,02316 Lawrence Fork,Pembroke Pines,FL,32724,Classic,43.68,6,2085.32
CMP-100122,Christopher,Taylor,69555 Hicks Vista Suite 865,Fort Lauderdale,FL,33167,Gold,218.67,3,4510.73
CMP-100123,Jackie,Curtis,826 Thompson Dale,Hollywood,FL,33027,Classic,36.46,1,218.74
CMP-100124,Tammy,Farmer,61563 Chelsea Highway,Fort Lauderdale,FL,33292,Platinum,422.52,4,9789.88
CMP-100125,Alexander,Harmon,07470 Rubio Run,Boca Raton,FL,33828,Platinum,587.57,4,14091.72
CMP-100126,William,Fowler,22441 Hatfield Mountains,West Palm Beach,FL,32690,Multi-Platinum,1583.72,7,67673.73
CMP-100127,Erica,Wilkerson,77892 Sophia Spur Suite 114,Fort Lauderdale,FL,32561,Classic,24.91,2,405.96
CMP-100128,Joshua,May,512 Kerr Island Apt. 207,Hollywood,FL,33728,Gold,188.14,4,4990.61
CMP-100129,Jane,Johnson,305 Benjamin Ferry,West Palm Beach,FL,32376,Platinum,436.17,5,12722.1
CMP-100130,Eric,Gonzalez,659 Erica Orchard,Pembroke Pines,FL,32961,Classic,53.35,4,1579.82
CMP-100131,Ashley,Pace,5362 Brittany Square,Fort Lauderdale,FL,32547,Classic,46.58,5,1472.15
CMP-100132,Corey,Larson,041 Cathy Ridges,Miami,FL,34452,Gold,280.56,4,7846.87
CMP-100133,Matthew,Hayes,77745 Kristin Fork Apt. 248,Hollywood,FL,33695,Gold,143.96,6,4857.51
CMP-100134,Christopher,Ford,44857 Johnston Parks Suite 199,Boca Raton,FL,34281,Gold,202.29,4,4479.83
CMP-100135,Elizabeth,Ramirez,6450 Martin Parks,Hollywood,FL,33687,Classic,84.11,3,1461.95
CMP-100136,Melissa,Bradley,0452 Cooper Turnpike,Fort Lauderdale,FL,33023,Classic,78.58,5,2850.98
CMP-100137,Lisa,Hernandez,43666 Joy Mount,Boca Raton,FL,33875,Classic,39.94,7,2090.57
CMP-100138,Elizabeth,Lowe,712 Franklin Inlet,Miami,FL,34481,Classic,34.94,3,849.34
CMP-100139,Jack,Nichols,3400 Travis Alley,Fort Lauderdale,FL,33537,Platinum,783.08,2,10346.42
CMP-100140,Erin,Jones,26184 Zachary Wells,Pembroke Pines,FL,32399,Gold,170.15,7,7489.95
CMP-100141,Dominic,Alexander,256 Martinez Wall,West Palm Beach,FL,33165,Platinum,300.84,0,0.0
CMP-100142,Jonathan,Calderon,313 Santos Point,Pembroke Pines,FL,32458,Classic,50.92,1,295.31
CMP-100143,Alexandra,Miranda,11494 Sean Alley,Miami,FL,32619,Platinum,302.24,8,13787.25
CMP-100144,Denise,Romero,422 Craig Burg,Pembroke Pines,FL,33824,Platinum,396.44,5,13088.9
CMP-100145,Kimberly,Ortiz,3730 Hall Pine Apt. 564,Hollywood,FL,33504,Classic,60.38,3,1129.89
CMP-100146,Rebecca,Jimenez,088 Parker Gateway,Pembroke Pines,FL,32128,Classic,50.29,5,1421.96
CMP-100147,Lucas,Garcia,365 Daniel Extensions Apt. 712,Miami,FL,32887,Platinum,348.2,2,5167.42
CMP-100148,Rodney,Wall,3761 Bradley Circle Apt. 436,Pembroke Pines,FL,33240,Classic,29.44,10,2085.28
CMP-100149,Katie,Gonzalez,9731 Tracy Stream Apt. 663,Miami,FL,33523,Classic,21.13,8,1293.35
CMP-100150,Michael,Wilson,4441 Torres Ranch,Miami,FL,33433,Classic,34.13,4,767.36
CMP-100151,Derek,Nelson,4234 Nelson Tunnel,Boca Raton,FL,32859,Platinum,596.58,4,18790.99
CMP-100152,Desiree,Pierce,1676 Jade Meadow,West Palm Beach,FL,34768,Classic,59.21,4,1479.81
CMP-100153,Leonard,Haynes,75427 Harris Extensions Apt. 999,Miami,FL,33094,Classic,62.24,7,2677.31
CMP-100154,Alexandra,Rivers,063 Thomas Lights Suite 522,Miami,FL,34331,Classic,15.2,3,316.13
CMP-100155,Alice,Kane,095 Andrew Haven,Hollywood,FL,34681,Gold,124.01,1,853.59
CMP-100156,Judy,Giles,6004 Mcdowell Viaduct,Fort Lauderdale,FL,34644,Gold,289.26,1,2059.57
CMP-100157,James,Wilcox,45830 York Gateway Suite 113,Fort Lauderdale,FL,34006,Classic,55.8,4,1506.08
CMP-100158,Scott,Perez,3762 Diane Valley Apt. 332,Pembroke Pines,FL,33090,Gold,269.97,1,1819.05
CMP-100159,Betty,Smith,3714 Rachel Springs,Boca Raton,FL,33295,Classic,90.02,3,1906.73
CMP-100160,Colleen,Knight,2308 Alfred Pine Suite 997,Hollywood,FL,33970,Gold,272.58,2,4356.76
CMP-100161,Cynthia,Peterson,407 Deborah Keys,Miami,FL,32577,Platinum,727.42,8,35703.79
CMP-100162,Kevin,Stokes,119 Zachary Lodge Suite 192,Pembroke Pines,FL,32704,Classic,23.93,5,666.64
CMP-100163,Nicole,Jones,763 Nunez Camp,West Palm Beach,FL,34022,Platinum,367.47,7,19587.3
CMP-100164,Nicole,Cook,8892 Sheryl Locks Suite 839,Hollywood,FL,34319,Classic,50.38,1,371.86
CMP-100165,Nicole,Solis,98639 Nicole Fork Suite 690,West Palm Beach,FL,32642,Gold,225.4,4,6203.96
CMP-100166,Rachel,Dean,9557 Wright Underpass,Fort Lauderdale,FL,32917,Platinum,461.48,4,13315.55
CMP-100167,Craig,Ramirez,716 Hanson Rapid,Hollywood,FL,33156,Gold,231.54,3,3940.27
CMP-100168,Lisa,Mcdonald,457 Perez Unions,Miami,FL,34474,Classic,50.31,4,1179.79
CMP-100169,Justin,Fields,761 Jamie Ridges Apt. 438,Hollywood,FL,33276,Gold,188.11,6,7395.38
CMP-100170,Melanie,Walker,03297 Kurt Field Suite 047,Hollywood,FL,32396,Platinum,607.21,4,19547.4
CMP-100171,Stephanie,Willis,48051 Craig Common Suite 421,Pembroke Pines,FL,33589,Platinum,326.59,3,6808.2
CMP-100172,Brianna,Martinez,7914 Williamson Stream Suite 864,Fort Lauderdale,FL,33026,Classic,72.25,6,3303.93
CMP-100173,James,Lee,50305 Lisa Shoals Suite 366,Fort Lauderdale,FL,32197,Classic,25.53,2,417.85
CMP-100174,Scott,Mcdaniel,34481 Smith Turnpike Suite 007,Fort Lauderdale,FL,32830,Gold,287.8,4,9141.97
CMP-100175,Julia,Reid,594 Kayla Square,Fort Lauderdale,FL,33782,Gold,134.24,1,830.09
CMP-100176,Ruben,Abbott,7751 Gary Mountains Apt. 014,Miami,FL,33026,Gold,239.85,5,7303.11
CMP-100177,Ricky,Bell,587 Ramsey Street,Fort Lauderdale,FL,32484,Classic,25.97,5,922.1
CMP-100178,Todd,Elliott,1325 Anderson Road Suite 966,West Palm Beach,FL,34002,Platinum,404.62,3,8178.73
CMP-100179,Krystal,Howard,509 Smith Villages,Miami,FL,34191,Classic,52.09,6,2292.41
CMP-100180,Kristen,Wilson,95751 Jones Ridges,Fort Lauderdale,FL,34269,Classic,94.18,6,3217.72
CMP-100181,Elizabeth,Miller,3966 Bruce Way,Pembroke Pines,FL,32054,Gold,214.76,6,9530.31
CMP-100182,Angela,Klein,2236 Laura Mission Suite 934,Pembroke Pines,FL,33942,Gold,292.98,4,6838.73
CMP-100183,Claudia,Boyd,9862 Yesenia Ferry,Boca Raton,FL,33102,Multi-Platinum,2391.65,2,30483.33
CMP-100184,Rhonda,Miller,260 Kirk Mission Apt. 036,Boca Raton,FL,34544,Classic,95.1,3,1906.39
CMP-100185,Natalie,Vincent,3767 Robert Brooks Apt. 777,Fort Lauderdale,FL,34651,Platinum,712.59,5,24560.7
CMP-100186,Mary,Hill,526 Barbara Circles Suite 001,Miami,FL,33921,Classic,99.17,6,4787.48
CMP-100187,Keith,Guerrero,30527 Adams Ville Apt. 897,Hollywood,FL,33613,Platinum,667.94,4,19382.95
CMP-100188,John,Barber,999 Thompson Glens,Hollywood,FL,33426,Classic,16.31,4,420.78
CMP-100189,James,Johnson,164 Bennett Dale Apt. 121,Hollywood,FL,33658,Gold,255.33,4,6971.47
CMP-100190,Johnathan,Guerrero,2443 Elizabeth Underpass Suite 063,West Palm Beach,FL,34354,Classic,57.91,9,2954.21
CMP-100191,Edwin,Mueller,69220 Michael Pine,Hollywood,FL,32386,Gold,264.86,2,4090.93
CMP-100192,Jennifer,Smith,415 Tiffany Dale Suite 111,Hollywood,FL,34521,Classic,87.42,2,1257.68
CMP-100193,Kelsey,Hall,71297 Dana Roads,Fort Lauderdale,FL,32428,Gold,179.99,3,3989.12
CMP-100194,Stephanie,Jackson,08830 Rachel Hill Suite 705,Hollywood,FL,32386,Classic,60.2,1,380.5
CMP-100195,Sandy,Carter,91406 James Causeway Suite 250,Hollywood,FL,33586,Gold,107.87,3,2567.42
CMP-100196,William,Thompson,156 Benson Port Suite 561,West Palm Beach,FL,34853,Classic,48.28,3,823.84
CMP-100197,Jeffery,Hopkins,941 Miguel Avenue Suite 275,West Palm Beach,FL,32199,Classic,73.8,4,2157.02
CMP-100198,David,Williams,13417 Chris Ridges Suite 724,West Palm Beach,FL,33212,Classic,78.32,10,5086.4
CMP-100199,Michelle,Esparza,14435 larson strave apt. 316,Fort Lauderdale,FL,33141,Classic,47.08,4,1039.17
CMP-100200,Kristi,Rush,784 Tiffany Station,Fort Lauderdale,FL,33136,Classic,43.44,7,1849.77
CMP-100201,Ethan,Patterson,5261 Trevino Loaf,Pembroke Pines,FL,34032,Gold,233.39,3,5627.94
CMP-100202,Paul,Dominguez,29828 Mitchell Fall Suite 543,Fort Lauderdale,FL,33229,Gold,166.44,4,5185.6
CMP-100203,David,Hernandez,92264 James Road,West Palm Beach,FL,33278,Classic,81.66,5,2968.14
CMP-100204,Christine,Martinez,22723 Joshua Dale,Miami,FL,33571,Classic,80.82,5,2326.74
CMP-100205,Nancy,Campbell,7072 Jeffery Points,Boca Raton,FL,32892,Platinum,567.44,6,26116.57
CMP-100206,William,Davis,1177 Richardson Key Apt. 556,Pembroke Pines,FL,34507,Classic,21.27,1,121.51
CMP-100207,Roberto,Vaughn,1743 Maria Crossroad,Pembroke Pines,FL,34150,Classic,74.83,3,1798.52
CMP-100208,Christopher,Foster,82800 Jeremy Square Suite 388,Hollywood,FL,32771,Multi-Platinum,1179.78,4,34177.91
CMP-100209,Robert,Smith,60979 Torres Ranch,Hollywood,FL,32131,Platinum,407.21,3,9088.49
CMP-100210,Heather,Patrick,394 Vaughan Ports,Miami,FL,32694,Gold,244.45,10,14660.98
CMP-100211,Diana,Le,7170 Smith Forges Suite 556,Miami,FL,32760,Gold,224.26,2,3313.6
CMP-100212,James,Griffith,424 Megan Trace,Pembroke Pines,FL,34292,Multi-Platinum,1606.41,7,81736.4
CMP-100213,Isabella,Henson,3612 Mary Lodge Apt. 513,Miami,FL,34380,Classic,25.1,4,705.96
CMP-100214,Janice,Austin,02180 Samuel Knoll,West Palm Beach,FL,34448,Classic,41.64,4,1165.21
CMP-100215,Bruce,Peters,5881 Jonathan Path Suite 659,West Palm Beach,FL,33610,Gold,251.99,3,6035.5
CMP-100216,Lori,Terry,677 Brittany Tunnel,Hollywood,FL,32964,Platinum,459.62,4,13353.74
CMP-100217,Caroline,Meyer,757 Patricia Expressway Apt. 400,Hollywood,FL,33657,Classic,32.54,4,911.12
CMP-100218,Michael,Neal,888 Davis Well,West Palm Beach,FL,34076,Classic,42.2,7,1990.87
CMP-100219,Douglas,Montoya,797 Gregory Club Apt. 022,Miami,FL,33762,Classic,38.58,9,2501.48
CMP-100220,Cheryl,Valdez,2930 Rodriguez Prairie Suite 023,Pembroke Pines,FL,32926,Classic,16.46,4,423.23
CMP-100221,Maxwell,Palmer,977 Wood Camp,Hollywood,FL,32779,Gold,283.84,3,6259.65
CMP-100222,Elizabeth,Daniel,2879 Lee Streets Apt. 883,Hollywood,FL,34124,Platinum,639.04,2,8217.67
CMP-100223,Beverly,Simpson,95059 Martinez Mount Suite 093,Hollywood,FL,33067,Multi-Platinum,868.53,3,16508.5
CMP-100224,Jaclyn,Frost,86193 Thomas Pass Apt. 014,Fort Lauderdale,FL,33350,Gold,251.82,4,7173.0
CMP-100225,Michael,Jensen,25753 Maria Cape,Hollywood,FL,32599,Gold,280.11,3,5475.52
CMP-100226,Katie,Roberts,3148 Jean Land Apt. 296,Hollywood,FL,32885,Platinum,671.88,3,13331.18
CMP-100227,Victor,Walters,664 Robert Square Apt. 653,Miami,FL,33575,Classic,39.49,6,1720.61
CMP-100228,Tiffany,Mcdonald,22144 Watts Knoll Apt. 366,Miami,FL,34320,Gold,121.61,5,4187.22
CMP-100229,Jody,Harding,558 Crystal Corners,Miami,FL,32294,Gold,111.04,1,762.49
CMP-100230,Gina,Robinson,9347 Adam Motorway,Fort Lauderdale,FL,34736,Gold,256.1,3,5286.23
CMP-100231,Alexander,Taylor,696 Benitez Lodge,Hollywood,FL,32700,Classic,55.19,7,3029.55
CMP-100232,Christopher,Stout,4913 Cassandra Green Apt. 624,West Palm Beach,FL,32750,Gold,100.28,5,3453.86
CMP-100233,Bryan,Lawrence,219 Joseph Mills,Miami,FL,33951,Gold,163.85,3,3161.56
CMP-100234,Kimberly,Ramirez,09758 Rose Streets,Hollywood,FL,33204,Gold,101.94,3,1985.46
CMP-100235,Christina,Jackson,5539 Christopher Wells,Hollywood,FL,33815,Classic,51.29,1,344.07
CMP-100236,Judy,Russell,7928 Ruiz Pine Suite 817,Miami,FL,33775,Gold,282.98,4,6691.82
CMP-100237,Steven,Dean,219 mooney inlet,Boca Raton,FL,32319,Classic,25.45,0,0.0
